20.174.15.226:443#AE [沧州电信优选高速1157.00ms]
47.83.14.42:8443#HK [沧州电信优选高速62.00ms]
8.223.63.150:443#HK [沧州电信优选高速78.00ms]
8.223.63.189:443#HK [沧州电信优选高速78.00ms]
154.219.103.79:443#HK [沧州电信优选高速78.00ms]
98.70.26.236:443#IN [沧州电信优选高速1172.00ms]
154.12.191.206:443#JP [沧州电信优选高速93.00ms]
154.12.191.135:443#JP [沧州电信优选高速93.00ms]
151.245.106.81:443#KR [沧州电信优选高速63.00ms]
23.27.28.216:8443#MY [沧州电信优选高速125.00ms]
205.186.64.235:8443#MY [沧州电信优选高速1109.00ms]
52.76.0.44:443#SG [沧州电信优选高速109.00ms]
54.254.75.107:443#SG [沧州电信优选高速109.00ms]
