20.174.15.226:443#AE [157.00ms]
109.61.42.37:443#AE [234.00ms]
90.156.220.194:2053#AE [297.00ms]
80.227.252.11:8443#AE [344.00ms]
84.235.245.65:2096#AE [344.00ms]
185.75.243.102:443#AL [343.00ms]
213.159.76.175:443#AM [250.00ms]
185.234.57.134:443#AM [250.00ms]
185.234.57.233:443#AM [266.00ms]
185.234.57.153:443#AM [266.00ms]
45.83.143.214:2053#AM [1250.00ms]
152.53.19.75:443#AT [219.00ms]
130.195.222.215:443#AT [219.00ms]
152.53.67.107:443#AT [234.00ms]
152.53.105.1:443#AT [234.00ms]
152.53.44.234:2053#AT [234.00ms]
185.119.117.146:8443#AT [250.00ms]
132.243.203.228:8443#AT [265.00ms]
132.243.203.236:8443#AT [265.00ms]
193.177.221.29:443#AU [187.00ms]
209.38.22.182:443#AU [313.00ms]
161.33.76.218:2053#AU [328.00ms]
123.51.23.113:443#AU [328.00ms]
207.211.157.214:443#AU [344.00ms]
161.33.76.218:8443#AU [344.00ms]
209.38.82.114:443#AU [344.00ms]
207.211.153.234:443#AU [360.00ms]
109.89.106.12:443#BE [266.00ms]
104.155.124.198:443#BE [1328.00ms]
78.128.99.225:443#BG [218.00ms]
152.89.28.215:443#BG [266.00ms]
185.205.210.144:443#BG [281.00ms]
104.152.48.205:8443#BG [297.00ms]
91.227.77.40:8443#BG [297.00ms]
104.152.48.205:443#BG [297.00ms]
185.232.171.198:443#BG [312.00ms]
185.232.171.94:443#BG [312.00ms]
132.226.163.224:8443#BR [375.00ms]
152.67.41.217:443#BR [375.00ms]
94.131.19.10:8443#BR [1344.00ms]
146.235.59.153:2053#BR [1359.00ms]
146.235.59.153:8443#BR [1359.00ms]
185.66.71.149:2053#BY [1281.00ms]
23.173.104.234:2053#CA [203.00ms]
23.173.104.229:2053#CA [203.00ms]
23.173.104.235:2053#CA [203.00ms]
23.173.104.226:2053#CA [203.00ms]
23.173.104.233:2053#CA [203.00ms]
23.173.104.222:2053#CA [203.00ms]
23.173.104.230:2053#CA [203.00ms]
23.173.104.221:2053#CA [203.00ms]
84.234.17.132:443#CH [219.00ms]
83.228.193.229:8443#CH [219.00ms]
84.234.16.226:8443#CH [219.00ms]
185.237.225.47:443#CH [219.00ms]
83.228.193.229:443#CH [219.00ms]
151.158.1.228:443#CH [234.00ms]
84.234.17.85:443#CH [235.00ms]
213.176.18.108:443#CH [250.00ms]
64.176.15.110:2053#CL [344.00ms]
5.180.29.91:443#CL [375.00ms]
64.176.10.195:443#CL [1375.00ms]
150.241.121.190:443#CZ [203.00ms]
109.172.9.38:443#CZ [265.00ms]
188.127.247.34:443#CZ [265.00ms]
193.124.58.154:8443#CZ [281.00ms]
85.137.166.252:443#CZ [281.00ms]
2.56.176.32:8443#CZ [282.00ms]
109.172.9.107:2087#CZ [297.00ms]
109.172.9.100:443#CZ [297.00ms]
46.225.77.98:443#DE [171.00ms]
46.225.97.236:443#DE [172.00ms]
157.90.181.146:8443#DE [172.00ms]
46.225.107.73:443#DE [172.00ms]
57.129.63.53:8443#DE [172.00ms]
57.129.47.39:8443#DE [172.00ms]
18.184.27.249:443#DE [172.00ms]
57.129.47.39:2053#DE [172.00ms]
193.180.210.243:443#DK [203.00ms]
193.181.213.217:443#DK [219.00ms]
193.180.212.103:443#DK [219.00ms]
80.78.18.247:8443#DK [234.00ms]
80.78.18.53:443#DK [250.00ms]
89.28.236.192:8443#DK [281.00ms]
80.78.25.208:443#DK [281.00ms]
80.78.19.11:443#DK [296.00ms]
130.94.116.44:443#EC [282.00ms]
5.45.118.75:8443#EE [219.00ms]
5.101.114.44:2053#EE [234.00ms]
5.45.122.10:8443#EE [234.00ms]
5.101.112.43:443#EE [250.00ms]
93.113.214.99:443#EE [265.00ms]
185.215.187.198:443#EE [265.00ms]
150.241.101.102:8443#EE [265.00ms]
185.215.187.143:443#EE [265.00ms]
212.227.144.37:8443#ES [234.00ms]
79.117.46.26:8443#ES [235.00ms]
